epsilon,low_class_thresh,high_class_thresh,accuracy,precision,recall,fairness_metrics_roc,fairness_metrics_roc_abs
2.900000000000001,0.25,0.75,0.63,0.77,0.25,0.05,0.05
3.1000000000000005,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.1000000000000005,0.4,0.6,0.67,0.72,0.43,0.08,0.08
3.1000000000000005,0.35,0.65,0.65,0.73,0.36,0.08,0.08
3.1000000000000005,0.3,0.7,0.64,0.74,0.3,0.07,0.07
3.1000000000000005,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.3000000000000007,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.3000000000000007,0.4,0.6,0.66,0.72,0.42,0.08,0.08
3.3000000000000007,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.3000000000000007,0.3,0.7,0.64,0.74,0.3,0.07,0.07
3.3000000000000007,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.500000000000001,0.45,0.55,0.69,0.7,0.53,0.09,0.09
3.500000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
3.500000000000001,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.500000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.500000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.7000000000000006,0.45,0.55,0.69,0.71,0.53,0.09,0.09
3.7000000000000006,0.4,0.6,0.67,0.72,0.43,0.09,0.09
3.7000000000000006,0.35,0.65,0.65,0.73,0.36,0.09,0.09
3.7000000000000006,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.7000000000000006,0.25,0.75,0.63,0.77,0.24,0.05,0.05
3.900000000000001,0.45,0.55,0.69,0.71,0.53,0.09,0.09
3.900000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
3.900000000000001,0.35,0.65,0.65,0.74,0.36,0.09,0.09
3.900000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
3.900000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
4.1000000000000005,0.45,0.55,0.69,0.71,0.53,0.09,0.09
4.1000000000000005,0.4,0.6,0.67,0.72,0.43,0.09,0.09
4.1000000000000005,0.35,0.65,0.66,0.74,0.36,0.09,0.09
4.1000000000000005,0.3,0.7,0.64,0.76,0.3,0.07,0.07
4.1000000000000005,0.25,0.75,0.63,0.78,0.24,0.05,0.05
4.300000000000001,0.45,0.55,0.69,0.71,0.53,0.09,0.09
4.300000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
4.300000000000001,0.35,0.65,0.66,0.74,0.36,0.09,0.09
4.300000000000001,0.3,0.7,0.64,0.76,0.3,0.07,0.07
4.300000000000001,0.25,0.75,0.63,0.78,0.24,0.05,0.05
4.500000000000001,0.45,0.55,0.69,0.71,0.53,0.1,0.1
4.500000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
4.500000000000001,0.35,0.65,0.66,0.74,0.36,0.09,0.09
4.500000000000001,0.3,0.7,0.64,0.76,0.29,0.07,0.07
4.500000000000001,0.25,0.75,0.63,0.78,0.23,0.06,0.06
4.7,0.45,0.55,0.69,0.71,0.53,0.1,0.1
4.7,0.4,0.6,0.67,0.73,0.43,0.09,0.09
4.7,0.35,0.65,0.66,0.74,0.36,0.1,0.1
4.7,0.3,0.7,0.64,0.76,0.29,0.07,0.07
4.7,0.25,0.75,0.63,0.78,0.23,0.05,0.05
4.9,0.45,0.55,0.69,0.71,0.53,0.1,0.1
4.9,0.4,0.6,0.67,0.72,0.43,0.09,0.09
4.9,0.35,0.65,0.66,0.74,0.36,0.1,0.1
4.9,0.3,0.7,0.64,0.76,0.29,0.07,0.07
4.9,0.25,0.75,0.63,0.78,0.23,0.05,0.05
5.1000000000000005,0.45,0.55,0.69,0.7,0.52,0.1,0.1
5.1000000000000005,0.4,0.6,0.67,0.73,0.43,0.09,0.09
5.1000000000000005,0.35,0.65,0.66,0.74,0.36,0.1,0.1
5.1000000000000005,0.3,0.7,0.64,0.76,0.29,0.07,0.07
5.1000000000000005,0.25,0.75,0.63,0.78,0.23,0.05,0.05
5.300000000000001,0.45,0.55,0.68,0.7,0.52,0.1,0.1
5.300000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
5.300000000000001,0.35,0.65,0.66,0.74,0.36,0.1,0.1
5.300000000000001,0.3,0.7,0.64,0.76,0.29,0.07,0.07
5.300000000000001,0.25,0.75,0.63,0.78,0.23,0.05,0.05
5.500000000000001,0.45,0.55,0.69,0.7,0.52,0.1,0.1
5.500000000000001,0.4,0.6,0.67,0.73,0.43,0.1,0.1
5.500000000000001,0.35,0.65,0.66,0.75,0.37,0.1,0.1
5.500000000000001,0.3,0.7,0.64,0.76,0.29,0.07,0.07
5.500000000000001,0.25,0.75,0.63,0.78,0.24,0.06,0.06
5.700000000000001,0.45,0.55,0.57,0.52,0.63,-0.08,0.08
5.700000000000001,0.4,0.6,0.57,0.52,0.63,-0.08,0.08
5.700000000000001,0.35,0.65,0.57,0.52,0.62,-0.08,0.08
5.700000000000001,0.3,0.7,0.57,0.52,0.62,-0.08,0.08
5.700000000000001,0.25,0.75,0.57,0.52,0.62,-0.08,0.08
5.9,0.45,0.55,0.61,0.56,0.59,-0.03,0.03
5.9,0.4,0.6,0.6,0.56,0.59,-0.03,0.03
5.9,0.35,0.65,0.6,0.56,0.59,-0.03,0.03
5.9,0.3,0.7,0.61,0.56,0.59,-0.03,0.03
5.9,0.25,0.75,0.61,0.56,0.59,-0.03,0.03
6.1000000000000005,0.45,0.55,0.65,0.62,0.55,-0.01,0.01
6.1000000000000005,0.4,0.6,0.64,0.63,0.5,0.01,0.01
6.1000000000000005,0.35,0.65,0.64,0.64,0.46,0.03,0.03
6.1000000000000005,0.3,0.7,0.64,0.65,0.41,0.06,0.06
6.1000000000000005,0.25,0.75,0.63,0.66,0.37,0.05,0.05
6.300000000000001,0.45,0.55,0.66,0.65,0.53,0.05,0.05
6.300000000000001,0.4,0.6,0.66,0.67,0.48,0.04,0.04
6.300000000000001,0.35,0.65,0.66,0.71,0.43,0.03,0.03
6.300000000000001,0.3,0.7,0.65,0.71,0.37,0.05,0.05
6.300000000000001,0.25,0.75,0.63,0.71,0.31,0.05,0.05
6.500000000000001,0.45,0.55,0.66,0.66,0.52,0.07,0.07
6.500000000000001,0.4,0.6,0.67,0.7,0.47,0.03,0.03
6.500000000000001,0.35,0.65,0.67,0.73,0.41,0.05,0.05
6.500000000000001,0.3,0.7,0.65,0.73,0.34,0.06,0.06
6.500000000000001,0.25,0.75,0.64,0.75,0.29,0.06,0.06
6.700000000000001,0.45,0.55,0.67,0.67,0.52,0.07,0.07
6.700000000000001,0.4,0.6,0.67,0.71,0.45,0.06,0.06
6.700000000000001,0.35,0.65,0.66,0.74,0.38,0.07,0.07
6.700000000000001,0.3,0.7,0.65,0.75,0.32,0.07,0.07
6.700000000000001,0.25,0.75,0.63,0.75,0.27,0.06,0.06
6.900000000000001,0.45,0.55,0.68,0.68,0.53,0.07,0.07
6.900000000000001,0.4,0.6,0.67,0.72,0.45,0.07,0.07
6.900000000000001,0.35,0.65,0.66,0.74,0.37,0.07,0.07
6.900000000000001,0.3,0.7,0.64,0.74,0.31,0.08,0.08
6.900000000000001,0.25,0.75,0.63,0.76,0.26,0.05,0.05
7.100000000000001,0.45,0.55,0.69,0.7,0.53,0.09,0.09
7.100000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
7.100000000000001,0.35,0.65,0.66,0.74,0.37,0.08,0.08
7.100000000000001,0.3,0.7,0.64,0.75,0.31,0.07,0.07
7.100000000000001,0.25,0.75,0.63,0.77,0.25,0.05,0.05
7.300000000000001,0.45,0.55,0.69,0.7,0.53,0.09,0.09
7.300000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
7.300000000000001,0.35,0.65,0.65,0.73,0.36,0.09,0.09
7.300000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
7.300000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
7.500000000000001,0.45,0.55,0.69,0.71,0.53,0.09,0.09
7.500000000000001,0.4,0.6,0.67,0.72,0.43,0.08,0.08
7.500000000000001,0.35,0.65,0.65,0.74,0.36,0.09,0.09
7.500000000000001,0.3,0.7,0.64,0.75,0.3,0.07,0.07
7.500000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
7.700000000000001,0.45,0.55,0.69,0.71,0.53,0.09,0.09
7.700000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
7.700000000000001,0.35,0.65,0.66,0.74,0.36,0.09,0.09
7.700000000000001,0.3,0.7,0.64,0.76,0.3,0.07,0.07
7.700000000000001,0.25,0.75,0.63,0.77,0.24,0.05,0.05
7.900000000000001,0.45,0.55,0.69,0.71,0.53,0.1,0.1
7.900000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
7.900000000000001,0.35,0.65,0.66,0.74,0.36,0.1,0.1
7.900000000000001,0.3,0.7,0.64,0.76,0.29,0.07,0.07
7.900000000000001,0.25,0.75,0.63,0.78,0.23,0.06,0.06
8.100000000000001,0.45,0.55,0.69,0.71,0.52,0.1,0.1
8.100000000000001,0.4,0.6,0.67,0.72,0.43,0.09,0.09
8.100000000000001,0.35,0.65,0.66,0.74,0.36,0.1,0.1
8.100000000000001,0.3,0.7,0.64,0.76,0.29,0.07,0.07
8.100000000000001,0.25,0.75,0.63,0.78,0.23,0.05,0.05
8.3,0.45,0.55,0.69,0.7,0.52,0.1,0.1
8.3,0.4,0.6,0.67,0.72,0.43,0.1,0.1
8.3,0.35,0.65,0.66,0.75,0.37,0.1,0.1
8.3,0.3,0.7,0.64,0.76,0.29,0.07,0.07
8.3,0.25,0.75,0.63,0.79,0.24,0.05,0.05
8.500000000000002,0.45,0.55,0.68,0.7,0.52,0.1,0.1
8.500000000000002,0.4,0.6,0.67,0.72,0.44,0.1,0.1
8.500000000000002,0.35,0.65,0.66,0.75,0.37,0.1,0.1
8.500000000000002,0.3,0.7,0.64,0.77,0.29,0.07,0.07
8.500000000000002,0.25,0.75,0.63,0.78,0.24,0.06,0.06
8.700000000000001,0.45,0.55,0.68,0.7,0.52,0.11,0.11
8.700000000000001,0.4,0.6,0.67,0.72,0.43,0.1,0.1
8.700000000000001,0.35,0.65,0.66,0.75,0.36,0.1,0.1
8.700000000000001,0.3,0.7,0.64,0.76,0.28,0.06,0.06
8.700000000000001,0.25,0.75,0.63,0.78,0.24,0.06,0.06
8.900000000000002,0.45,0.55,0.68,0.7,0.52,0.11,0.11
8.900000000000002,0.4,0.6,0.67,0.72,0.43,0.1,0.1
8.900000000000002,0.35,0.65,0.66,0.75,0.36,0.1,0.1
8.900000000000002,0.3,0.7,0.64,0.76,0.28,0.06,0.06
8.900000000000002,0.25,0.75,0.63,0.78,0.24,0.06,0.06
9.100000000000001,0.45,0.55,0.69,0.7,0.52,0.11,0.11
9.100000000000001,0.4,0.6,0.67,0.72,0.43,0.1,0.1
9.100000000000001,0.35,0.65,0.66,0.75,0.36,0.1,0.1
9.100000000000001,0.3,0.7,0.64,0.76,0.28,0.07,0.07
9.100000000000001,0.25,0.75,0.63,0.78,0.24,0.06,0.06
9.3,0.45,0.55,0.69,0.71,0.52,0.1,0.1
9.3,0.4,0.6,0.67,0.72,0.43,0.1,0.1
9.3,0.35,0.65,0.66,0.74,0.36,0.11,0.11
9.3,0.3,0.7,0.64,0.76,0.28,0.07,0.07
9.3,0.25,0.75,0.63,0.78,0.24,0.06,0.06
9.500000000000002,0.45,0.55,0.69,0.71,0.52,0.1,0.1
9.500000000000002,0.4,0.6,0.67,0.72,0.43,0.1,0.1
9.500000000000002,0.35,0.65,0.66,0.74,0.36,0.11,0.11
9.500000000000002,0.3,0.7,0.64,0.76,0.28,0.07,0.07
9.500000000000002,0.25,0.75,0.63,0.78,0.24,0.06,0.06
9.700000000000001,0.45,0.55,0.69,0.71,0.52,0.1,0.1
9.700000000000001,0.4,0.6,0.67,0.73,0.43,0.1,0.1
9.700000000000001,0.35,0.65,0.66,0.74,0.36,0.11,0.11
9.700000000000001,0.3,0.7,0.64,0.76,0.28,0.07,0.07
9.700000000000001,0.25,0.75,0.63,0.78,0.24,0.06,0.06
9.900000000000002,0.45,0.55,0.69,0.71,0.52,0.1,0.1
9.900000000000002,0.4,0.6,0.67,0.72,0.43,0.1,0.1
9.900000000000002,0.35,0.65,0.66,0.74,0.36,0.11,0.11
9.900000000000002,0.3,0.7,0.64,0.76,0.28,0.07,0.07
9.900000000000002,0.25,0.75,0.63,0.78,0.24,0.06,0.06
